params,mean_test_score,std_test_score,rank_test_score
"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None}",0.7257266045548785,0.08760633181146263,7
"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 5}",0.596653139391833,0.007188558873203202,45
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 15}",0.6957352829950865,0.07322144884671272,16
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 15}",0.6844102437843558,0.07453881104079202,22
"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 10}",0.6505152986263767,0.041757104574859774,29
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 5}",0.5973990377839982,0.006132791934163507,36
"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None}",0.7088126225132406,0.08301200557752554,12
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10}",0.6490349484556067,0.042877098501171655,32
"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10}",0.6484712098460312,0.04303263717736698,33
"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 5}",0.5963491925634783,0.005718070429352924,46
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_depth': 10}",0.65688564800635,0.03951294643636182,27
"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 15}",0.7068350904503025,0.067297570242308,13
"{'n_estimators': 300, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_depth': 15}",0.6906852393475564,0.07374277163623669,18
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': None}",0.7094125119985214,0.08443157678225062,11
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 15}",0.6881822433747764,0.07016770211651274,19
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 10}",0.649179219650889,0.04178168144893868,30
"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 5}",0.5973595309665233,0.006957933033395693,37
"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_depth': 10}",0.6482168124448002,0.04299067055997584,34
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None}",0.7323433546468919,0.0824570578315379,6
"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': 15}",0.7160935705014546,0.06047132433490076,10
"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5}",0.5973067315867409,0.007635898511488273,39
"{'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': None}",0.7244305330303266,0.08676964505864358,9
"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_depth': None}",0.7576453015221647,0.07481640085870028,2
"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': None}",0.7454059009216907,0.07903812199666448,3
"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': 10}",0.6579234467992541,0.03738948046775803,25
"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 10}",0.6521738851763795,0.03983858888565858,28
"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_depth': 5}",0.5949412946828058,0.0056267441558335435,50
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_depth': 5}",0.5974153596654505,0.006943241590547568,35
"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 5}",0.5970705902862508,0.006357566186973378,42
"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_depth': None}",0.7336907550298243,0.07849413551138941,5
"{'n_estimators': 500, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_depth': 5}",0.5973595309665233,0.006957933033395693,37
"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_depth': 15}",0.6844231351511201,0.07567181538758135,21
