feature,importance
MetalOxideSensor_Unit4,0.06745271
Ambient Light Level_very_dim,0.05485206
Ambient Light Level_dim,0.05026446
MetalOxideSensor_Unit2,0.04833516
CO_GasSensor,0.047496583
MetalOxideSensor_Unit3,0.04593957
Time of Day_evening,0.04284648
HVAC Operation Mode_off,0.042456634
CO2_ElectroChemicalSensor,0.042114113
Ambient Light Level_moderate,0.041255243
HVAC Operation Mode_eco_mode,0.040919114
HVAC Operation Mode_ventilation_only,0.040793817
Temperature,0.03972535
MetalOxideSensor_Unit1,0.039638035
HVAC Operation Mode_cooling_active,0.039504185
HVAC Operation Mode_heating_active,0.038158886
Humidity,0.03797057
HVAC Operation Mode_maintenance_mode,0.037496593
CO2_InfraredSensor,0.03683746
Time of Day_night,0.035805594
Time of Day_afternoon,0.034617938
Ambient Light Level_bright,0.033925682
Time of Day_morning,0.032669604
Ambient Light Level_very_bright,0.028924098
