params,mean_test_score,std_test_score,rank_test_score
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7785249371384906,0.10313369062776426,30
"{'subsample': 0.8, 'reg_lambda': 10, 'reg_alpha': 1, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.7610111530246423,0.1019066062941569,71
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0.5, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.7728561605059143,0.09870050105422437,51
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 9, 'learning_rate': 0.03, 'colsample_bytree': 0.9}",0.7646050559135964,0.09753276807942708,66
"{'subsample': 0.8, 'reg_lambda': 1, 'reg_alpha': 0.5, 'n_estimators': 900, 'max_depth': 11, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.782283694385913,0.09986557540647603,12
"{'subsample': 0.7, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 9, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7836960975117175,0.09147805287893943,8
"{'subsample': 0.9, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 500, 'max_depth': 10, 'learning_rate': 0.05, 'colsample_bytree': 0.9}",0.774705098481665,0.0976455001226183,43
"{'subsample': 0.8, 'reg_lambda': 5, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 11, 'learning_rate': 0.05, 'colsample_bytree': 0.8}",0.7819063510916358,0.09583870922251699,14
"{'subsample': 0.9, 'reg_lambda': 1, 'reg_alpha': 0, 'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.08, 'colsample_bytree': 0.9}",0.785654981152,0.09387457668806835,3
"{'subsample': 0.9, 'reg_lambda': 10, 'reg_alpha': 0, 'n_estimators': 900, 'max_depth': 11, 'learning_rate': 0.03, 'colsample_bytree': 0.8}",0.7758141466156359,0.09891663246470044,39
